City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Narsaq,GL,2020-04-18 03:22:31,60.92,-46.05,28.4,63,69,9.17
173,Emerald,AU,2020-04-18 03:22:31,-23.53,148.17,96.01,28,18,5.82
174,Touros,BR,2020-04-18 03:22:32,-5.2,-35.46,77.0,94,40,5.82
175,Portland,US,2020-04-18 03:17:35,45.52,-122.68,69.8,22,75,5.82
176,Qarqin,AF,2020-04-18 03:22:32,37.42,66.04,66.43,33,0,5.55
177,Yar-Sale,RU,2020-04-18 03:22:32,66.83,70.83,34.92,98,100,10.69
178,Havoysund,NO,2020-04-18 03:19:11,71.0,24.66,35.6,69,75,34.45
179,Berlevag,NO,2020-04-18 03:19:56,70.86,29.09,35.06,93,100,25.61
180,Nikolskoye,RU,2020-04-18 03:22:33,59.7,30.79,37.4,89,75,13.42
181,Souillac,MU,2020-04-18 03:19:44,-20.52,57.52,77.0,83,75,12.75
182,Saskylakh,RU,2020-04-18 03:22:34,71.92,114.08,8.71,88,0,4.99
183,Shizilu,CN,2020-04-18 03:22:35,35.17,118.83,64.67,40,21,9.19
184,Yumen,CN,2020-04-18 03:22:35,40.28,97.2,56.79,21,1,4.94
185,Sao Joao Da Barra,BR,2020-04-18 03:19:58,-21.64,-41.05,72.48,83,96,11.12
186,Saquarema,BR,2020-04-18 03:22:36,-22.92,-42.51,69.8,94,90,8.05
187,Santa Maria,BR,2020-04-18 03:22:36,-29.68,-53.81,59.0,87,5,5.82
